('1', (332, 137))^('0', (1274, 846))^('3', (428, 27))^('2', (401, 69))^168^628
self employed^('self employed', 0)^('self employed', 0)^('self employed', 0)
ecom trading^('ecom agroindustrial', 1)
ruffer llp^('ruffer', 0)
youview tv limited^('youview tv', 2)
efinancialcareers^('efinancialcareers', 0)
solidus labs^('solidus labs', 0)
unknown^('unknown way solution', 1)
ipushpull^('ipushpull', 0)
tech mahindra^('tech mahindra', 0)
snb capital^('snb capital', 0)^('snb capital', 0)
infonoesisltd^('infonoesisltd', 0)
willis towers watson^('willis towers watson', 0)
webull securities^('webull', 1)
blockchain-ads^('blockchain-ads', 0)
liquidnet^('liquidnet', 0)
alexander chapman^('alexander chapman', 0)
erste group^('erste', 1)
sutherland^('sutherland', 0)
txg limited^('txg', 1)
druces llp^('druces', 1)
citi^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)^('citi', 0)
tokenomy^('tokenomy', 0)
santander^('santander uk', 0)^('santander', 0)^('banco', 1)
goldenberg hehmeyer trading co ltd^('ghco', 0)
brawlbig technologies^('brawlbig technologies', 0)
radley james^('radley james', 0)^('radley james', 0)
tyro payments^('tyro payments', 0)
knightdigitals^('knightdigitals', 0)
lead it firm^('lead forensics', 1)
dell technologies^('dell technologies', 0)
hanover investors^('hanover', 1)
northern trust corporation^('northern trust', 0)
private wealth management^('private wealth management', 0)
magistral consulting^('magistral consulting', 0)^('magistral consulting', 0)
statistics new zealand^('statistics new zealand', 0)
colexion^('colexion', 0)
delimp technology^('delimp technology', 0)
rouleur^('rouleur', 0)
pacific asset^('pacific asset management', 0)
sberbank cib^('sberbank cib', 0)
schneider electric^('schneider electric', 0)
chicago trading company^('chicago trading company', 0)
lenovo^('lenovo pccw solutions', 1)
best wp developer^('best wp developer', 0)^('best seo service india', 1)
sc^('sc ventures by standard chartered', 2)
vision57^('vision57', 0)
vallum associates limited^('vallum associates', 2)
lakestar^('lakestar', 0)
suite2go^('suite2go', 0)
london stock exchange^('london stock exchange', 0)
iress^('iress', 0)^('iress', 0)^('iress', 0)
rbc capital markets^('rbc', 0)^('rbc capital markets', 0)^('rbc capital markets', 0)
emirates nbd^('emirates nbd', 0)
booz allen hamilton^('booz allen hamilton', 0)
cognizant^('cognizant', 0)
infosys^('infosys', 0)
sap^('sap', 0)^('sap', 0)^('sap information technology', 1)
natwest markets^('natwest', 0)^('natwest', 0)^('natwest markets', 0)^('natwest', 0)^('natwest markets', 0)^('natwest', 0)^('natwest markets', 0)^('natwest', 0)^('natwest', 0)^('natwest markets', 0)^('natwest markets', 0)^('natwest markets', 0)^('natwest markets', 0)^('natwest markets', 0)^('natwest markets', 0)^('natwest markets', 0)^('natwest', 0)^('natwest markets', 0)
anz^('anz', 0)^('anz', 0)
monetago^('monetago', 0)
cmc markets^('cmc invest', 0)
annex world wide ltd^('annex world wide', 3)
university of portsmouth^('university of portsmouth', 0)
saggezza^('saggezza', 0)
new link consulting^('new link consulting', 0)^('new link consulting', 0)
social tree global^('social tree global', 0)^('social tree global', 0)
eastern peak^('eastern peak', 0)
binariks inc.^('binariks', 1)
mobilecoderz technologies private limited^('mobilecoderz technologies', 2)
standard chartered bank^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered bank', 0)^('standard chartered india', 2)
arcesium^('arcesium', 0)
world wide technology^('world wide technology', 0)^('world finance council', 1)
gonext solutions pvt. ltd.^('gonext solutions', 2)
investment bank^('investment bank', 0)^('investment bank', 0)
dmarkecy^('dmarkecy', 0)
perpetua^('perpetua investment', 2)
montarosa^('montarosa', 0)
finsmart - digital solutions for primary markets^('finsmart', 1)
brandex financial^('brandex financial', 0)
airship^('airship', 0)
systematic selection ltd^('systematic selection', 2)
coremont^('coremont', 0)
va remote business solutions^('va remote business solutions', 0)
ap outsourcing group^('ap outsourcing', 2)^('ap pension', 1)
leading point^('leading point financial markets', 2)
goldman sachs^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman sachs', 0)^('goldman lloyds', 1)
adao, advanced diagnostics analytics and optimization^('adao, advanced diagnostics analytics and optimization', 0)
excelsior partners^('excelsior search', 2)
schonfeld^('schonfeld', 0)
